gene	isoname	is_basic
MTHFR	MTHFR-217	1
MTHFR	MTHFR-201	0
MTHFR	MTHFR-207	0
MTHFR	MTHFR-206	0
CLCN6	CLCN6-201	1
CLCN6	CLCN6-202	1
CLCN6	CLCN6-206	1
NPPA	NPPA-202	1
NPPA	NPPA-203	1
NPPA	NPPA-201	1
NPPB	NPPB-201	1
KIAA2013	KIAA2013-201	1
KIAA2013	KIAA2013-203	1
KIAA2013	KIAA2013-202	1
PLOD1	PLOD1-204	0
PLOD1	PLOD1-201	1
PLOD1	PLOD1-203	0
MFN2	MFN2-203	1
MFN2	MFN2-210	1
MFN2	MFN2-213	1
MFN2	MFN2-225	1
MFN2	MFN2-217	1
MFN2	MFN2-223	0
MFN2	MFN2-202	0
MFN2	MFN2-232	0
MFN2	MFN2-207	1
MFN2	MFN2-208	1
MFN2	MFN2-211	1
MFN2	MFN2-216	1
MFN2	MFN2-214	1
MFN2	MFN2-227	1
MFN2	MFN2-230	1
MFN2	MFN2-201	1
MFN2	MFN2-224	0
MIIP	MIIP-201	1
TNFRSF8	TNFRSF8-201	1
TNFRSF8	TNFRSF8-203	1
TNFRSF8	TNFRSF8-202	1
TNFRSF1B	TNFRSF1B-201	1
TNFRSF1B	TNFRSF1B-204	1
VPS13D	VPS13D-214	1
VPS13D	VPS13D-213	1
VPS13D	VPS13D-201	0
VPS13D	VPS13D-212	1
DHRS3	DHRS3-204	1
DHRS3	DHRS3-202	0
DHRS3	DHRS3-201	0
AADACL4	AADACL4-201	1
AADACL3	AADACL3-201	1
C1orf158	C1orf158-203	1
C1orf158	C1orf158-201	1
PRAMEF12	PRAMEF12-201	1
PRAMEF1	PRAMEF1-201	1
PRAMEF11	PRAMEF11-201	1
HNRNPCL1	HNRNPCL1-201	1
PRAMEF2	PRAMEF2-201	1
PRAMEF4	PRAMEF4-201	1
PRAMEF10	PRAMEF10-201	1
PRAMEF7	PRAMEF7-202	1
PRAMEF7	PRAMEF7-201	1
PRAMEF6	PRAMEF6-202	1
PRAMEF6	PRAMEF6-201	1
PRAMEF27	PRAMEF27-201	1
HNRNPCL3	HNRNPCL3-201	1
PRAMEF25	PRAMEF25-201	1
PRAMEF25	PRAMEF25-202	1
HNRNPCL2	HNRNPCL2-202	1
PRAMEF26	PRAMEF26-201	1
HNRNPCL4	HNRNPCL4-201	1
PRAMEF9	PRAMEF9-201	1
PRAMEF13	PRAMEF13-201	1
PRAMEF13	PRAMEF13-202	1
PRAMEF18	PRAMEF18-202	1
PRAMEF5	PRAMEF5-201	1
PRAMEF8	PRAMEF8-201	1
PRAMEF8	PRAMEF8-203	1
PRAMEF8	PRAMEF8-202	1
PRAMEF33	PRAMEF33-201	1
PRAMEF15	PRAMEF15-201	1
PRAMEF14	PRAMEF14-201	1
PRAMEF19	PRAMEF19-201	1
PRAMEF17	PRAMEF17-201	1
PRAMEF20	PRAMEF20-201	1
PRAMEF20	PRAMEF20-202	1
LRRC38	LRRC38-201	1
PDPN	PDPN-201	1
PDPN	PDPN-211	1
PDPN	PDPN-202	1
PDPN	PDPN-212	1
PDPN	PDPN-209	1
PDPN	PDPN-208	1
PDPN	PDPN-203	1
PDPN	PDPN-210	1
PDPN	PDPN-205	1
PDPN	PDPN-204	1
PRDM2	PRDM2-207	0
PRDM2	PRDM2-204	1
PRDM2	PRDM2-202	1
PRDM2	PRDM2-201	1
PRDM2	PRDM2-206	1
PRDM2	PRDM2-203	1
PRDM2	PRDM2-213	1
PRDM2	PRDM2-205	0
PRDM2	PRDM2-214	1
PRDM2	PRDM2-208	0
KAZN	KAZN-209	1
KAZN	KAZN-208	1
KAZN	KAZN-203	1
KAZN	KAZN-207	1
KAZN	KAZN-201	1
KAZN	KAZN-202	0
KAZN	KAZN-205	1
KAZN	KAZN-204	1
TMEM51	TMEM51-204	1
TMEM51	TMEM51-202	1
TMEM51	TMEM51-206	0
TMEM51	TMEM51-203	1
TMEM51	TMEM51-201	1
TMEM51	TMEM51-205	1
FHAD1	FHAD1-202	1
FHAD1	FHAD1-207	0
FHAD1	FHAD1-206	1
FHAD1	FHAD1-205	1
FHAD1	FHAD1-220	0
FHAD1	FHAD1-203	1
FHAD1	FHAD1-208	0
FHAD1	FHAD1-221	0
FHAD1	FHAD1-201	0
EFHD2	EFHD2-201	1
